,data
2107,"['10', 'Things', 'You', 'May', 'Have', 'Missed', 'On', 'TV', 'This', 'Week', '[', 'Mixed', 'Bag', ']', 'http://bit.ly/9vZOUc']"
2108,"['Today', 'was', 'awesome', ',', 'I', 'finally', 'get', 'to', 'relax', ':)']"
2109,"['RT', '@wkeving', ':', 'Check', 'out', '@slidedeck', 'powerful', 'Web', 'Slider', '.', 'Follow', '+', 'RT', 'to', 'enter', 'for', 'a', 'Free', 'Pro', 'version', 'each', 'day', 'in', 'Sept', 'http://bit.ly/SDcontest']"
2110,"['Thank', 'God', 'it', ""'s"", 'finally', 'Friday', '!', 'I', 'really', 'needed', 'this', '.', ':-)']"
2111,"['@aprildenay', 'Quit', 'messing', 'with', 'ut', '...', 'every', 'time', 'you', 'take', 'the', 'cotton', 'out', 'you', 'break', 'the', 'clots', 'keeping', 'it', 'from', 'bleeding', 'goober', 'head', '!']"
2112,"['Thanks', 'and', 'I', 'will', 'RT', '@InnerGizerBunni', '@kizfoprez_TR', 'Happy', 'Berlated', 'Birthday', '!', 'I', 'hope', 'u', 'have', 'fun', '&amp;', 'live', 'it', 'up', 'tonight', '..', 'Enjoy', '&amp;', 'b', 'safe', '!']"
2113,"['@themayorpete', 'I', 'split', 'my', 'time', 'now', 'btwn', 'SF', 'and', 'San', 'Mateo']"
2114,"['RT', '@Yarcom', ':', 'It', ""'s"", 'Guinness', ""O'clock."", '&lt;', '--', 'it', ""'s"", 'almost', 'that', 'time', 'over', 'here', 'on', 'the', 'west', 'coast', 'too', '.']"
2115,"['@weezywiii', 'yes', 'i', 'do', '..', 'scouts', 'dont', 'smoke', 'week']"
2116,"['Wonder', 'what', 'the', 'new', 'Green', 'Day', 'album', 'will', 'called', ',', 'Tre', ""'s"", 'Penis', '?']"
2117,"['Hey', '....', 'my', 'birthday', 'is', 'in', 'exactly', 'one', 'month', '!!!', ':D']"
2118,"['FRIDAY', '....', 'home', 'alone', '!', 'xD', 'wanna', 'join', 'me', '??']"
2119,"['27', 'followers', '!', '30', 'followers', 'is', 'my', 'goal', 'for', 'today', '!']"
2120,"['My', 'mama', 'just', 'surprised', 'me', 'on', 'ring', 'day', '!!', 'Ahh', 'today', 'just', 'got', 'so', 'much', 'better', '!']"
2121,"['@lilwhitebear', '@GrouchoDuke', ""I'm"", 'not', 'kidding', '!', 'I', 'used', 'a', 'book', 'which', 'was', 'published', 'in', '2008', '(', 'last', 'year)', '...', 'it', 'was', 'an', 'awesome', 'book', '!']"
2122,"['miren', 'el', 'video0', 'one', 'time', '....', 'ESTA', 'SIENDO', 'ATACADO', 'X', 'LOS', 'NO', 'ME', 'GUSTA', 'D', ':']"
2123,"['RT', '@SteevoSupremo', ':', '#The1906andPearlsShow', 'THIS', 'MONDAY', '@', '7:06', ':', '08pm', '!!!!!', '#MAINBUILDING', 'ROOM', '.', '104', '!!!', 'http://twitpic.com/2oeark', 'SPECIAL', 'PERF', '...']"
2124,"['@LightCMS', 'over', '6000', 'followers', '!', 'Told', 'you', ',', 'you', 'would', 'get', 'a', 'lot', ',', 'you', 'had', 'about', '2000', 'on', 'the', 'first', 'day', '.', 'Less', 'and', 'less', 'likely', 'I', 'will', 'win', 'lol']"
2125,"['@AyeoKitty', 'ill', 'txt', 'you', 'soon', 'in', 'a', 'few', 'minutes', 'when', 'i', 'get', 'a', 'hold', 'of', 'my', 'phone']"
2126,"['@Sophieeander', 'will', '..', 'Dont', 'go', '!!', 'Cause', 'its', 'your', 'last', 'year', 'i', 'know', 'the', 'school', 'suck', 'but', 'you', 'should', 'go', 'to', 'school', '^^', '""', 'HK', 'can', 'wait', 'for', 'u', '..', '!!']"
2127,"['RT', '@GdnPolitics', ':', 'RT', '@AlJahom', ':', 'Blair', ':', '""', ""I'm"", 'gonna', 'be', 'the', 'next', 'Pope', '""', 'Brown', ':', '""', 'I', ""won't"", 'stop', 'you', 'as', 'long', 'as', 'you', 'make', 'sure', 'it', ""'s"", 'my', 'turn', 'next', '""']"
2128,"['No', 'one', 'cares', '....', 'RT', '@RapperBigPooh', 'so', 'Cudi', 'got', 'a', 'problem', 'with', 'Wale', 'now', '?', 'why', '?', 'when', 'did', 'this', 'happen', '?', 'is', 'this', 'musical', 'or', 'personal', '?']"
2129,"['OK', 'IMMA', 'ASK', 'THIS', 'AGAIN', 'HOW', 'LONG', 'DO', 'YOU', 'TALK', 'TO', 'A', 'GIRL', 'BEFORE', 'U', 'MAKE', 'IT', 'OFFICIAL', '&amp;', 'START', 'GOIN', 'OUT', 'WITH', 'HER', '????']"
2130,"['@Cortney_plus2', 'ding', 'ding', 'ding', '!', 'front', ',', 'back', 'and', 'let', ""'s"", 'just', 'say', ""I'll"", 'be', 'putting', 'soph', ""'s"", 'hair', 'in', 'a', 'bun', 'before', 'the', 'next', 'nap', 'time', '.']"
2131,"['Because', 'maybe', ""You're"", 'gonna', 'be', 'the', 'one', 'who', 'saves', 'me', '?', 'And', 'after', 'all', ""You're"", 'my', 'wonderwall']"
2132,"['@masalaskeptic', 'that', ""'s"", 'how', 'I', 'got', 'this', 'nickname', '.', 'Told', 'I', 'looked', 'like', 'the', 'muppet', '.', 'And', 'I', 'kind', 'of', 'did', 'the', 'same', 'jom', 'when', 'I', 'did', 'theatre', 'work', '.']"
2133,"['Whats', 'the', 'plan', 'tonight']"
2134,"['#FF', 'THE', 'FUTURE', 'OF', 'THE', '@WWE', '@JTG1284', 'HE', '#SofaKingFlyy', 'HE', 'ONE', 'OF', 'MY', 'ALL', 'TIME', 'FAVS', '....', '#ReallyDoe']"
2135,"['RT', '@NickSilly', ':', 'Fun', '!', 'RT', '@JackFMDFW', ':', 'Put', 'on', 'your', 'Boogie', 'Shoes', 'and', 'Get', 'Down', 'Tonight', 'with', 'KC', 'and', 'The', 'Sunshine', 'Band', '.', '#Dallas', '#concerts', 'http', ':/', '...']"
2136,"['every', 'year', 'your', '""', 'bestfriend', '""', 'get', 'yo', 'ass', 'in', 'trouble', 'smdh', '#doinme']"
2137,"['RT', '@zahrock12', ':', 'Fuck', 'yeah', 'its', 'FRIDAY', '!!']"
2138,"['@OGOchoCinco', 'ocho', 'you', 'know', 'your', 'talent', ',', 'I', 'have', 'agreed', 'with', 'every', 'statement', 'you', 'have', 'said', 'over', 'the', 'past', '2', 'years']"
2139,"['@Kirstyjarvie', 'yesss', '!!!!', ""I'm"", 'off', 'after', '6', ':)']"
2140,"['RT', '@rockerfuckerak', ':', 'What', ""'s"", 'done', 'is', 'done', ',', 'Just', 'leave', 'it', 'alone', ',', 'and', 'do', ""n't"", 'regret', '.', 'Sometimes', 'somethings', 'turn', 'in-to', 'dumb', 'things', '.', 'And', 'that', ""'s"", 'when', '...']"
2141,"['She', 'should', 'nom', 'me', 'when', 'she', 'gets', 'back', '!', 'If', 'she', ""'s"", 'not', 'tired', 'that', 'is', '.']"
2142,"['Easy', 'A', 'tonight', '.', 'WOOOO']"
2143,"['RT', '@robmoysey', 'Eyeopener', 'vs', '.', 'Ryerson', 'Quidditch', 'team', 'this', 'Sunday', 'at', '4', 'p.m.', 'Anyone', 'know', 'where', 'to', 'get', 'cheap', 'brooms', '?', '#Ryerson', '@RUQuidditch', '#Rams']"
2144,"['We', 'were', 'all', 'enjoying', 'a', 'glass', 'of', 'wine', 'in', 'the', 'office', 'when', 'a', 'fudge', 'delivery', 'showed', 'up', '.', 'I', 'love', 'my', 'job', '.', 'And', 'I', 'love', 'Fridays', '.']"
2145,"['RT', '@refuel_bar', ':', 'Annual', 'Whole', 'Hog', 'Dinner', 'Wed', 'Oct', '27', ';', '3', 'seatings', ',', 'communal', 'tables', ',', 'family', 'style', '$49', ';', 'http://bit.ly/62Gs3X', 'for', 'details', '.']"
2146,"['@geek', '@borkware', 'Somehow', 'my', 'iPad', 'in', 'Airplane', 'mode', 'with', 'WiFi', 'off', 'has', 'no', 'problem', 'connecting', 'to', 'internet', '.', 'Time', 'for', 'a', 'wipe', 'or', 'downgrade', '.']"
2147,"['Surely', 'mags', 'will', 'line', 'up', 'to', 'feature', '.', 'RT', '@peoplemag', ':', 'Lindsay', 'Lohan', 'fails', 'court-mandated', 'drug', 'test', ',', 'faces', 'more', 'jail', 'time', 'http://ow.ly/2G3R2']"
2148,"['RT', '@chelseakent', ':', 'Going', 'to', 'eat', 'at', 'Loveless', 'Cafe', 'tonight', '!', ':)']"
2149,"['RT', '@jeyyounit11', ':', 'i', 'was', 'watching', 'all', 'the', 'footage', 'on', 'my', 'camera', 'from', 'the', 'past', 'few', 'months', 'and', 'if', ""i'd"", 'actually', 'finish', 'what', 'i', 'was', 'talking', 'abou', '...']"
2150,"['I', ""'m"", 'tired', 'after', 'school', 'today', '!']"
2151,"['@zfarmville', 'funnyordie', ':', 'Text', 'messages', 'are', 'like', 'Gremlins', '.', 'Keep', 'them', 'away', 'from', 'drinks', 'and', 'proceed', 'with', 'caution', 'after', 'midnight', '.', 'http:///5dkkZ']"
2152,"['Why', 'hate', 'on', 'somebody', 'for', 'doing', 'well', 'when', 'you', 'can', 'simply', 'say', 'great', 'job', 'and', 'move', 'on', '..', '[Haters', 'u', 'can', 'kill', 'yourself', ']', 'cuz', 'ur', 'losers']"
2153,"['Massive', 'B-stock', 'list', '!', 'While', 'supplies', 'last', '.', 'Check', 'it', 'out', 'here', ':', 'http://soniccircus.com/September-B-Stock-List']"
2154,"['DUDE', 'I', 'CAN', 'WATCH', 'JENNIFERS', 'BODY', ':O', 'I', 'KNOW', 'WHAT', 'IMMA', 'BE', 'DOING', 'ALL', 'WEEK', 'xD', 'I', 'LOVE', 'THESE', 'MOVIES', '!']"
2155,"['#Random', 'But', 'Why', 'Do', 'Woman', 'Say', 'The', 'Want', 'A', 'Big', 'D@ck', '&lt;', 'When', 'They', 'Get', 'It', 'They', 'Favorite', 'Line', 'Is', '""', 'where', 'is', 'that', 'suppose', 'to', 'go', '""']"
2156,"['The', 'Maccabees', 'are', 'the', 'love', 'of', 'my', 'life', '.', 'one', 'day', 'i', 'will', 'be', 'married', 'to', 'all', 'of', 'them', '.']"
2157,"['twenty-four', 'days', 'for', 'Costa', 'do', 'Sauipe', '*-*']"
2158,"['@MiSS_SOTO', 'I', 'think', 'that', ""'s"", 'when', ""I'm"", 'gonna', 'be', 'there']"
2159,"['@Beauty_NsideOut', 'when', 'i', 'TOLD', 'you', 'i', 'was', 'goin', 'back', 'to', 'sleep', '!', '#Crazy']"
2160,"['@carolermp', ';)', 'did', 'you', 'read', 'about', 'my', 'mealworm', 'prank', 'the', 'other', 'day', '?', ';)']"
2161,"['RT', '@JBieber_isHOT', ':', 'When', 'Justin', 'gets', 'a', 'girlfriend', '...', 'its', 'going', 'to', 'be', 'World', 'War', '3', '!!!!!!']"
2162,"['If', 'Partner', 'left', 'me', 'and', 'BB', 'I', 'would', 'not', 'hunt', 'him', 'down', '.', ""I'd"", 'take', 'his', 'calls', 'but', 'it', 'would', 'be', 'his', 'job', 'to', 'make', 'sure', 'he', 'spent', 'time', 'with', 'BB', '.']"
2163,"['PLANO', 'BALLOON', 'FESTIVAL', '2010', 'TO', 'START', 'TODAY', ':', 'The', '31st', 'annual', 'Plano', 'Balloon', 'Festival', ',', 'Plano', 'Balloon', 'Festival', '2', '...', 'http://tinyurl.com/22kg6uz']"
2164,"['Maikes', 'hair', '.', 'School', '.', 'Webinar', 'at', 'the', 'first', 'job', '.', 'Changed', '...', 'ti', 'second', 'job', '...', 'then', 'time', 'with', 'the', 'boy', '!', 'What', 'a', 'day', '.;', ')']"
2165,"['The', 'Metro', 'Sept', '26', 'Mannie', 'Fresh', 'and', 'Jermaine', 'Dupri', 'fa', 'da', 'after', 'party', ',', 'holla', 'at', 'me', 'fa', 'ur', 'tickets']"
2166,"['@x_yesenia', 'me', 'too', '!', 'i', 'cant', 'wait', 'for', 'the', 'new', 'season', 'to', 'start', 'this', 'week', '(', ':']"
2167,"['Tonight', 'is', 'Theeeeeeeeeee', 'niiiiiiiiiight', ';)', '.', '*Gwen', 'Stefani', 'voice*', ':]', '.']"
2168,"['I', 'love', 'listening', 'to', 'lies', 'when', 'i', 'know', 'the', 'truth']"
2169,"['@Elcartoonifyer', 'really', '?', 'Jeff', 'told', 'me', 'he', 'was', 'going', 'there', 'tonight', 'too', '...']"
2170,"['Iwebslog', '.', 'com', 'Jupiter', 'making', 'closest', 'approach', 'in', 'nearly', '50', 'years', '(', 'AP)', ':', 'AP', '-', 'Better', 'catch', 'Jupiter', 'next', '...', 'http://l.mytr.in/aQn2Kg', '#Blog']"
2171,"['Its', '3', ""o'clock"", 'on', 'my', 'first', 'day', 'in', 'Vegas', 'and', 'I', 'am', 'already', 'drunk', 'and', 'just', 'sang', 'meatloaf', 'at', 'karoke', '.']"
2172,"['@glasgirl', 'Lol', '.', 'How', 'were', 'things', 'today', ',', 'love', '?']"
2173,"['Saturday', 'September', '18th', '2010', '8pm', 'Hotel', 'Elegante', 'Steve', '&quot;', 'Stylez', '&quot;', 'A.K.A.', 'Desperado', 'Birthday', 'Bash', '!', '&quot;', 'Headrush', 'in', 'da', 'building', '&quot;']"
2174,"['First', 'week', 'of', 'school', 'has', 'been', 'crazy', '.', 'Everyone', 'is', 'very', 'moody', 'and', 'tired', '!']"
2175,"['RT', '@ChuckMetcalf', ':', 'There', 'will', 'likely', 'not', 'be', 'a', 'proper', 'episode', 'this', 'week', ',', 'but', ""we'll"", 'give', 'you', 'an', 'update', 'on', 'the', 'future', 'of', 'the', 'show', '.']"
2176,"['Season', '3', 'of', 'Friday', 'Night', 'Lights', '...', 'It', 'seems', 'that', 'no', 'one', 'at', 'Dillion', 'High', 'School', 'graduates', '.']"
2177,"['@RiffTrax', ""I've"", 'suffered', 'through', 'the', 'era', 'of', 'HSM', 'popularity', '.', ""I've"", 'wanted', 'a', 'riff', 'for', 'the', 'damn', 'thing', 'for', 'years', '.', ""You've"", 'made', 'me', 'very', 'happy']"
2178,"['every', 'time', 'u', 'smile', '=)']"
2179,"['Why', 'Your', 'Homepage', 'May', 'Matter', 'Less', 'Than', 'You', 'Think', 'http://t.co/dNyFfPP', 'via', '@TMGmedia']"
2180,"['RT', '@ddockett', ':', 'I', 'got', 'another', 'account', '...', 'someone', 'else', 'will', 'tweet', 'when', 'they', 'think', 'I', 'would', '!', '#fact', '|', 'Although', '@NFL', 'will', 'probably', 'figure', 'that', 'out']"
2181,"['@godsgirl8494', 'can', 'u', 'please', 'follow', 'me', '?', 'you', 'will', 'make', 'my', 'day', '&lt;', '3', '8']"
2182,"['Just', 'casually', 'stalking', 'Cheryl', 'AND', 'Dermot', 'tomorrow', '....', 'NO', 'BIGGIE']"
2183,"['Ok', 'off', 'to', 'bed', 'BUT', 'WHEN', 'I', 'WAKE', 'UP', 'I', 'BETTER', 'HAVE', 'WON', 'A', 'T-SHIRT']"
2184,"['RT', '@cityofcalgary', ':', 'Free', 'swimming', 'and', 'golf', 'tomorrow', 'for', '@cbc', 'Sports', 'Day', 'in', 'Canada', '#yyc', '#sportsday', 'http://ow.ly/2G4sf']"
2185,"['@Jfordj12', 'Wee', 'need', 'u', 'to', 'make', 'it', 'happen', 'on', 'Sunday']"
2186,"['8hr', 'shift', 'today', 'yuck', 'lol']"
2187,"['changed', 'mii', 'twitta', 'name', 'i', 'wass', 'really', 'on', 'mii', 'nerd', 'floww', 'todaii', 'them', 'glasses', 'are', 'the', 'best', '......', 'nerd', 'glasses', 'on', 'deck', '...', 'now', 'time', 'for', 'church']"
2188,"['@Zerinaakers', 'talking', 'about', 'as', 'far', 'as', 'shooting', 'for', 'location', 'its', 'going', 'to', 'be', 'on', '#Vh1', 'so', 'by', 'the', 'end', 'of', 'the', 'month', 'i', 'should', 'know', 'something']"
2189,"[""Can't"", 'trust', 'anyone', 'these', 'days', ':/']"
2190,"['@BSaltzberg', 'hahahahaha', ',', 'first', 'vacation', 'in', 'probably', '20', 'years', 'that', 'she', 'left', 'her', 'pillows', 'at', 'home', '!', 'SHOCKING', '!']"
2191,"['@KathyReid', 'have', 'a', 'fun', 'day', 'of', 'freedom']"
2192,"['@SnoopDogg', 'hey', 'snoop', 'my', 'wife', 'Cath', 'is', '30', 'today', ',', 'any', 'chance', 'of', 'a', 'shout', 'out', 'to', 'her', ',']"
2193,"['@BadgerBlogger', 'LOL', '!', 'Yes', 'it', 'would', 'have', '.', '""', 'Let', ""'s"", 'have', 'one', 'every', 'dang', 'day', '!""']"
2194,"[""/Lebowski'd"", 'RT', '@RebellionPR', ':', 'When', ""I'm"", 'pope', 'the', 'first', 'thing', ""I'm"", 'going', 'to', 'do', 'is', 'shit', 'in', 'the', 'woods', '.', '#pope']"
2195,"['Dues', 'can', 'still', 'be', 'paid', 'on', 'monday', '!', 'Better', 'get', 'at', 'it', '@its_lizzyN', '@katzamora', '@cindyyobitch_', '@6ixty_nine', '!!']"
2196,"['RT', '@diggy_simmons', ':', 'Last', 'day', '.....', 'http://twitpic.com/2g9c1e']"
2197,"[""'RT"", '@JustinsHairFlip', ':', 'Justin', 'was', 'TOTALLY', 'prancing', 'around', 'the', 'room', 'when', 'he', 'saw', 'my', 'username', '&amp;', 'he', 'was', 'screaming', '""', 'OMG', 'I', 'HAVE', 'A', 'TWITTER', 'FOR', 'MA', ""...'""]"
2198,"['We', 'thank', 'you', 'for', 'your', 'interest', 'and', 'consideration', 'and', 'we', 'look', 'forward', 'to', 'working', 'with', 'you', 'this', 'year', 'at', 'the', '20', '...', 'http://tinyurl.com/27ypv4o']"
2199,"['RT', '@sandiegozoo', ':', 'Fossil', 'dig', 'update', ':', 'found', 'the', 'flippers', '!', 'Looks', 'like', 'a', 'pretty', 'complete', '3', 'million-year-old', 'whale', 'fossil', '.', 'YG']"
2200,"['Have', 'a', 'practice', 'session', '@Cromwell', 'Field', 'today', 'at', '6pm', '.', 'Hope', 'i', 'shine', 'well', 'and', 'start', 'the', 'next', 'game', '.', ':)']"
2201,"['Follow', 'Friday', ':', 'Once', 'again', ',', 'I', 'suggest', 'you', 'tell', 'everyone', 'you', 'know', 'to', 'FOLLOW', 'ME', '!', 'Let', ""'s"", 'get', 'me', 'over', '200', 'followers', '!', 'Porn', 'robots', 'welcome', '!', '#ff']"
2202,"['i', 'wonder', 'if', 'our', 'football', 'team', 'is', 'gonna', 'win', 'their', 'game', 'today', '...']"
2203,"['of', 'my', 'days', 'like', 'paris', 'hilton', 'doing', 'blowjobs', 'on', 'camera', 'to', 'earn', 'enough', 'money', 'to', 'feed', 'my', 'angry', 'birds', 'habbit', 'until', 'i', 'die']"
2204,"['Back', 'at', 'work', ',', 'waiting', 'for', 'Sunday', 'when', 'Mike', 'Vick', 'get', 'his', 'shine', 'on', 'Vs', '.', 'the', 'Lions']"
2205,"['Baseball', 'Tips', 'On', 'Hitting', '--', 'How', 'To', 'Approach', 'The', 'Flame', 'Throwers', '!', 'http://t.co/vaVT5LW', '#mlb', 'select', 'league', '#baseball', '#FF', 'Follow', 'Friday', '..']"
2206,"['#MuchLove', 'to', 'my', 'baby', 'it', 'will', 'be', '3', 'months', 'in', 'a', 'couple', 'days']"
2207,"['@tsykoduk', 'that', 'was', 'yesterday', 'and', '@RandomGemini', 'he', 'already', 'has', 'one', '.', ':-)']"
2208,"['Yay', ',', 'just', 'ordered', 'new', 'tragus', 'bars', ':)', 'Hopefully', ""they'll"", 'arrive', 'on', 'Monday']"
2209,"['Five', 'Bullpens', 'to', 'Stay', 'Away', 'From', 'in', 'MLB', 'Odds', ':', 'When', 'you', 'think', 'of', 'the', 'worst', 'teams', 'in', 'baseball', ',', 'you', 'think', 'of', 'teams', 'tha', '...', 'http://bit.ly/9R73CK']"
2210,"['#blackholidays', '""', 'National', 'forget', 'the', 'he', 'say', 'she', 'say', '...', 'what', 'do', 'God', 'say', 'day', '""']"
2211,"['""', 'before', 'we', 'start', ',', 'how', 'old', 'are', 'you', '?', 'HER', ':', 'I', ""'m"", '15', '..', 'old', 'enough', '!........', '#FindTheNearestExit']"
2212,"['The', 'ppl', 'who', 'organized', 'the', 'dept', '.', 'picnic', 'at', '1', 'on', 'Sunday', 'clearly', ""didn't"", 'want', 'me', 'to', 'go', 'or', 'they', ""wouldn't"", 'have', 'scheduled', 'it', 'during', 'a', 'Packer', 'game', '.']"
2213,"['RT', '@PolarBeverages', ':', 'Before', 'Hurricane', 'Earl', 'comes', ',', 'stock', 'up', 'on', 'Polar', 'Orange', 'Dry', '!', ':)']"
2214,"['Analogy', 'time', '!', 'Loyola', 'Chicago', ':', 'Alexei', '::', 'Philadelphia', 'Eagles', ':', 'Donovan', 'McNabb', '(', 'even', 'b4', 'the', 'trade)', '.', '#nfl', '#fb']"
2215,"['@ZhouMaharet', 'I', ""haven't"", 'for', 'a', 'long', 'ass', 'time']"
2216,"['http://sk.mu/aEnsGunwfr9', ':', 'Above&amp;Beyond', '-', 'Trance', 'Around', 'The', 'World', '338', '(', 'Wippenberg', 'Guestmix', ')', '(', '17', 'September', '2010', ')', '#Trance', '#Trancefamily', '#TATW']"
2217,"[""I'm"", 'being', 'stalked', 'by', '@thisisiceland', '.', 'I', 'saw', 'this', 'when', 'I', 'opened', 'flipboard', 'just', 'now', '.', 'http://yfrog.com/eir70oj']"
2218,"[""I'm"", 'off', 'I', 'shall', 'tweet', 'when', ""I'm"", 'home', ':D', ':D', 'xxxxxx']"
2219,"['Need', 'it', 'to', 'be', 'slammed', 'at', 'the', 'haus', 'tonight']"
2220,"['RT', '@Sn00ki', ':', 'Haha', 'yes', '!!!', 'I', 'love', 'that', 'you', 'knew', 'that', ':)', 'RT', '@trishamelissa', '@Sn00ki', 'Is', 'phenomenal', 'the', 'word', 'of', 'the', 'day', '?']"
2221,"['Doctor', ""'s"", 'appointment', 'and', 'blood', 'test', 'today', '.', '%#$&amp;@%$&amp;%&amp;@$', '!!!!!!!']"
2222,"['been', 'listenin', 'to', 'trey', 'alllll', 'week', '...', 'can', 'u', 'luv', 'someone', 'u', 'never', 'met', '??', 'bcuz', 'i', 'think', 'im', 'in', 'luv', 'yeeuuuuppp', '!!!']"
2223,"['no', 'mins', 'ha', 'i', 'guess', 'i', 'aint', 'goin', 'to', 'town', 'today', 'ha', 'just', 'gonna', 'stay', 'and', 'ball', '....']"
2224,"['yupp', '!', 'RT', '@TrentShelton', 'have', 'u', 'ever', 'met', 'some1', 'that', 'when', 'u', 'tell', 'a', 'story', 'THEY', 'HAVE', 'to', 'tell', 'their', 'story', '2', 'overshadow', 'yours', 'to', 'feel', 'superior']"
2225,"['RT', '@INTERMIX', ':', 'Shopping', 'on', 'the', 'High', 'Holy', 'Days', '.', 'Retail', ',', 'repent', ',', 'retweet', '.']"
2226,"['@Syniq', 'yeah', ',', 'after', 'a', 'long', 'week', ',', 'I', 'think', 'we', 'need', 'an', 'early', 'night', ',', 'so', 'are', 'heading', 'to', 'bed', 'shortly', '.', ""We'll"", 'pop', 'over', 'tomorrow', 'afternoon', 'tho', ""'""]"
2227,"['Off', 'work', 'I', 'guess', '?', 'Told', 'to', 'leave', 'an', 'hour', 'and', 'half', 'before', 'I', 'was', 'scheduled', 'to', '.', 'My', 'paycheck', 'is', 'going', 'to', 'be', 'weak', '.', 'Not', 'happy', '.']"
2228,"['Wake', ',', 'Davidson', ',', 'Charlotte', 'and', 'NC', 'St', '.', 'have', 'all', 'been', 'in', 'to', 'check', 'out', '2012', 'pg', 'Tyler', 'Lewis', 'since', 'contact', 'pd', 'began', '.', 'UNC', 'will', 'be', 'there', 'next', 'week', '.']"
2229,"['i', 'may', 'have', 'failed', ',', 'but', 'yeah', 'i', 'loved', 'you', 'from', 'the', 'start', '-', 'i', 'should', 'continue', 'editing', 'and', 'stop', 'quoting', '.']"
2230,"['RT', '@justingodsey', ':', 'When', 'the', 'eagles', 'fly', 'high', ',', 'they', 'make', 'all', 'the', 'smaller', 'birds', 'jealous', '.']"
2231,"['RT', '@SdotYoung', ':', '@MRsPRETTyKANDi', 'If', 'i', 'could', 'be', 'with', 'u', 'for', 'our', ""b'days"", 'that', 'would', 'be', 'amazin', '...', '&lt;', '&lt;', 'ii', 'DEF', 'agree', 'Boo', '..', 'we', 'should', 'do', 'our', 'best', 'to']"
2232,"['VIDEO', ':', 'Showbiz', 'Tonight', '-', 'Is', 'TV', 'Too', 'Gay', '?:', 'http://bit.ly/aAZMD6']"
2233,"['#np', 'never', 'too', 'late', '-', 'three', 'days', 'grace', '&lt;', '3']"
2234,"['Kk', 'its', '22:48', 'friday', 'nyt', ':D', 'really', 'tired', 'so', 'imma', 'go', 'to', 'sleep', ':)', 'good', 'nyt', 'x', 'god', 'bles', 'xxxxx']"
2235,"['@2kjdream', 'Good', 'morning', '!', 'Have', 'a', 'Good', 'day', ':)', 'from', 'JPN', '.']"
2236,"['RT', '@fucking_way', ':', 'A', 'gente', 'acostumou', 'a', 'escrever', 'I', 'Brought', 'You', 'My', 'Bullets', 'I', 'Brought', 'You', 'Me', 'Your', 'Love', ',', 'Danger', 'Days', '::', 'The', 'True', 'Lives', 'Of', 'The', 'Fa', '...']"
2237,"['@Jee_agustino', ':O', 'seriously', 'even', 'when', 'you', 'do', 'not', 'want', '?']"
2238,"[""'RT"", '@keidence', '""', 'Good', 'Morning', '!', 'Have', 'a', 'pleasant', 'and', 'happy', 'day', '!""', ""http://dlvr.it/5RcZC'""]"
2239,"['Saw', 'some', 'people', 'from', 'my', 'past', 'over', 'at', 'the', 'school', 'today', '.', 'They', 'all', 'remembered', 'me', '.', ':)']"
2240,"['Observances', 'mark', '9/11', 'anniversary', ':', 'Observances', 'in', 'Temecula', 'and', 'elsewhere', 'throughout', 'the', 'region', 'last', 'week', 'marked', 'the', '...', 'http://dlvr.it/5Rckw']"
2241,"['RT', '@iSplashInYoMouf', ':', 'RE*TWEET', 'IF', 'YOU', 'GOING', 'OUT', 'TONIGHT', '?']"
2242,"['I', ""ain't"", 'necessary', 'listenin', ""'"", 'to', 'the', 'lyrics', 'but', 'the', 'beat', 'got', 'head', ""rockin'."", '&quot;', 'It', ""'s"", 'Gucci', 'Time', '!&quot;', '#nodisrespect', 'I', 'fucks', 'with', 'every', 'now', '&amp;', 'then', '...']"
2243,"['Love', 'me', 'when', 'I', 'least', 'deserve', 'it', ',', 'because', 'that', ""'s"", 'when', 'I', 'need', 'it', 'the', 'most', '.']"
2244,"['#futbol', '&gt;', 'Newcastle', 'Jets', 'Youth', 'v', 'AIS', 'U21', '@', '18', 'Sep', '04:00', '-', 'precios', 'actualizados', '!', 'http://bit.ly/dBJacr', '#apuestas']"
2245,"['Cleveland', 'Browns', '(', 'Official', 'Site', ')', '&gt;', '&gt;', 'Delhomme', 'doubtful', 'for', 'Sunday', 'http://buzztap.com/-tgXgig']"
2246,"['i', 'decided', 'im', 'gonna', 'sleep', 'at', 'my', 'mommys', 'tonight', 'and', 'hang', 'out', 'there', 'after', 'filming', 'tomorrow', 'morning', 'till', 'i', 'work', '.', 'oh', 'the', 'sacrafices', 'i', 'make', '.']"
2247,"['RT', '@MirandaBuzz', ':', 'Last', 'day', 'of', 'this', 'season', '!!!', 'Next', 'season', 'I', 'hope', ""I'm"", 'driving', 'myself', 'to', 'work', '!', 'Gonna', 'miss', 'everybody', 'like', 'crazy', ':)']"
2248,"['But', 'what', 'happens', 'when', 'karam', 'turns', 'right', 'around', 'and', 'bites', 'you', '?', 'And', 'everything', 'you', 'stand', 'for', 'turns', 'on', 'you', 'despite', 'you', '?']"
2249,"['@cosmicblend', 'but', 'you', 'ARE', 'coming', 'tonight', ',', 'right', '?']"
2250,"['Gotta', 'dress', 'up', 'for', 'london', 'fashion', 'week', 'and', 'party', 'in', 'style', '!']"
